genome_id,b12,heme,folate,biotin,type1,type3,rm
MGYG000000001,1,0,1,0,1,0,1
MGYG000000002,1,0,1,0,1,0,1
MGYG000000003,0,0,1,0,1,0,1
MGYG000000004,1,0,0,0,1,1,1
MGYG000000005,1,0,0,0,1,0,1
MGYG000000006,0,1,1,0,1,0,1
MGYG000000007,0,0,0,0,1,0,1
MGYG000000008,0,0,0,0,1,0,1
MGYG000000009,0,0,0,0,1,0,1
MGYG000000010,0,1,1,0,0,0,0
MGYG000000011,0,1,1,1,0,0,0
MGYG000000012,0,1,1,1,0,0,0
MGYG000000013,1,0,0,1,1,0,1
MGYG000000014,1,0,1,0,1,0,1
MGYG000000015,0,1,1,1,0,1,1
MGYG000000016,0,0,0,0,0,0,0
MGYG000000017,0,0,0,0,0,1,1
MGYG000000018,0,0,0,0,1,0,1
MGYG000000019,0,1,1,1,0,0,0
MGYG000000020,0,0,0,0,1,0,1
MGYG000000021,0,0,0,0,0,0,0
MGYG000000022,1,0,0,0,1,1,1
MGYG000000023,0,0,0,0,1,0,1
MGYG000000024,1,1,0,1,0,0,0
MGYG000000025,0,1,1,0,1,0,1
MGYG000000026,0,0,0,0,1,1,1
MGYG000000027,1,0,1,0,1,1,1
MGYG000000028,0,0,1,0,1,0,1
MGYG000000029,0,0,1,1,1,0,1
MGYG000000030,0,0,1,0,1,0,1
MGYG000000031,1,0,1,0,1,1,1
MGYG000000032,1,1,0,0,0,0,0
MGYG000000033,1,0,0,0,1,0,1
MGYG000000034,1,0,0,0,0,0,0
MGYG000000035,1,0,1,0,1,0,1
MGYG000000036,0,0,1,0,1,0,1
MGYG000000037,0,0,1,0,0,0,0
MGYG000000038,1,0,0,0,0,0,0
MGYG000000039,1,0,0,0,0,1,1
MGYG000000040,0,0,0,0,1,1,1
MGYG000000041,1,0,1,0,0,0,0
MGYG000000042,1,0,1,0,1,1,1
MGYG000000043,1,0,1,1,1,0,1
MGYG000000044,1,0,1,1,1,1,1
MGYG000000045,0,0,0,0,0,0,0
MGYG000000046,1,0,1,0,1,1,1
MGYG000000047,1,0,1,0,1,0,1
MGYG000000048,1,0,1,0,0,1,1
MGYG000000049,1,0,1,1,0,0,0
MGYG000000050,1,0,0,0,1,0,1
MGYG000000051,1,0,1,0,1,0,1
MGYG000000052,1,0,1,0,0,0,0
MGYG000000053,0,0,1,0,1,1,1
MGYG000000054,0,0,1,1,1,0,1
MGYG000000055,0,0,1,1,0,0,0
MGYG000000056,1,0,1,1,1,1,1
MGYG000000057,1,0,1,1,1,0,1
MGYG000000058,1,0,1,0,1,0,1
MGYG000000059,0,0,0,0,1,1,1
MGYG000000060,1,0,1,0,0,0,0
MGYG000000061,1,0,0,0,0,0,0
MGYG000000062,1,0,0,0,1,0,1
MGYG000000063,1,0,1,0,1,0,1
MGYG000000064,1,0,1,0,0,0,0
MGYG000000065,0,0,1,0,1,0,1
MGYG000000066,1,0,1,0,1,0,1
MGYG000000067,0,0,1,0,1,1,1
MGYG000000068,1,0,0,0,0,0,0
MGYG000000069,0,0,0,0,1,0,1
MGYG000000070,1,0,1,0,1,0,1
MGYG000000071,1,0,0,0,1,1,1
MGYG000000072,1,0,0,0,0,1,1
MGYG000000073,0,0,0,0,0,0,0
MGYG000000074,0,0,1,0,1,0,1
MGYG000000075,1,1,0,0,1,0,1
MGYG000000076,1,0,0,0,0,0,0
MGYG000000077,1,0,1,0,0,0,0
MGYG000000078,1,0,0,0,1,0,1
MGYG000000079,0,1,1,0,1,1,1
MGYG000000080,1,0,1,0,0,0,0
MGYG000000081,0,1,1,1,1,0,1
MGYG000000082,0,1,1,1,1,0,1
MGYG000000083,1,1,1,1,0,0,0
MGYG000000084,1,0,0,0,0,0,0
MGYG000000085,1,0,0,0,0,0,0
MGYG000000086,1,0,0,0,0,0,0
MGYG000000087,1,0,0,0,1,0,1
MGYG000000088,0,0,1,0,0,0,0
MGYG000000089,1,0,0,0,1,0,1
MGYG000000090,0,0,1,0,1,0,1
MGYG000000091,0,1,1,1,1,0,1
MGYG000000092,1,0,1,0,0,0,0
MGYG000000093,1,1,1,1,1,0,1
MGYG000000094,1,0,0,0,1,0,1
MGYG000000095,1,0,1,0,0,0,0
MGYG000000096,0,0,0,0,1,1,1
MGYG000000097,0,0,0,0,0,0,0
MGYG000000098,0,0,1,1,1,0,1
MGYG000000099,1,0,0,0,1,1,1
MGYG000000100,1,0,0,1,1,0,1
MGYG000000101,0,1,1,0,1,1,1
MGYG000000102,1,0,1,0,1,0,1
MGYG000000103,1,0,0,0,1,0,1
MGYG000000104,1,0,1,0,0,0,0
MGYG000000105,1,0,1,0,0,0,1
MGYG000000106,0,0,0,0,1,0,1
MGYG000000107,1,1,1,1,1,0,1
MGYG000000108,1,1,0,1,0,1,1
MGYG000000109,0,0,0,0,1,0,1
MGYG000000110,1,1,1,1,1,0,1
MGYG000000111,1,1,1,1,0,1,1
MGYG000000112,0,1,1,0,0,0,1
MGYG000000113,0,0,1,0,1,1,1
MGYG000000114,0,0,0,0,0,0,0
MGYG000000115,1,1,0,0,1,0,1
MGYG000000116,0,1,1,0,0,0,0
MGYG000000117,0,0,1,1,0,1,1
MGYG000000118,1,0,1,0,0,1,1
MGYG000000119,1,0,1,0,1,1,1
MGYG000000120,0,0,1,1,1,0,1
MGYG000000121,1,0,0,0,1,0,1
MGYG000000122,0,1,1,1,0,0,0
MGYG000000123,1,0,1,0,1,0,1
MGYG000000124,1,1,0,1,1,0,1
MGYG000000125,1,0,1,0,1,1,1
MGYG000000126,1,1,1,0,0,0,0
MGYG000000127,1,0,0,0,1,0,1
MGYG000000128,0,0,1,0,0,0,0
MGYG000000129,0,0,0,0,0,0,0
MGYG000000130,1,0,0,0,1,0,1
MGYG000000131,1,0,0,0,1,0,1
MGYG000000132,0,0,0,0,0,0,0
MGYG000000133,1,0,1,0,1,0,1
MGYG000000134,0,0,0,0,0,0,0
MGYG000000135,1,0,1,0,0,0,0
MGYG000000136,1,0,1,0,1,0,1
MGYG000000137,1,0,1,0,0,1,1
MGYG000000138,1,0,1,1,1,0,1
MGYG000000139,0,0,1,0,1,0,1
MGYG000000140,1,0,1,0,1,0,1
MGYG000000141,1,0,1,0,1,0,1
MGYG000000142,1,0,1,0,1,0,1
MGYG000000143,1,0,1,0,0,0,0
MGYG000000144,0,0,1,1,1,0,1
MGYG000000145,1,0,0,0,1,1,1
MGYG000000146,1,0,1,0,1,0,1
MGYG000000147,0,1,1,1,0,0,0
MGYG000000148,0,0,0,0,0,1,1
MGYG000000149,1,0,1,0,0,0,0
MGYG000000150,1,0,0,0,0,0,0
MGYG000000151,1,0,1,0,1,0,1
MGYG000000152,1,0,0,0,1,0,1
MGYG000000153,1,0,0,0,1,0,1
MGYG000000154,1,0,1,0,0,0,1
MGYG000000155,0,0,0,0,1,0,1
MGYG000000156,1,0,0,0,0,0,0
MGYG000000157,1,1,0,1,0,0,0
MGYG000000158,1,0,0,0,0,1,1
MGYG000000159,1,0,0,0,1,0,1
MGYG000000160,0,0,0,0,0,1,1
MGYG000000161,0,0,0,0,1,0,1
MGYG000000162,0,0,0,0,1,0,1
MGYG000000163,0,0,1,0,0,0,0
MGYG000000164,1,0,1,0,1,0,1
MGYG000000165,1,0,0,0,0,0,0
MGYG000000166,0,0,1,0,0,0,0
MGYG000000167,1,0,0,0,1,0,1
MGYG000000168,1,0,1,1,1,0,1
MGYG000000169,0,0,1,0,0,0,0
MGYG000000170,0,0,1,1,1,0,1
MGYG000000171,1,0,1,0,0,0,0
MGYG000000172,1,0,0,0,0,0,1
MGYG000000173,0,0,0,0,1,1,1
MGYG000000174,1,0,1,1,1,0,1
MGYG000000175,1,0,1,0,0,0,0
MGYG000000176,1,0,1,0,0,0,0
MGYG000000177,0,0,1,0,0,1,1
MGYG000000178,0,0,0,0,1,1,1
MGYG000000179,1,0,0,0,1,0,1
MGYG000000180,1,0,0,0,0,0,0
MGYG000000181,1,0,0,0,1,0,1
MGYG000000182,1,0,0,0,1,0,1
MGYG000000183,1,0,1,1,1,1,1
MGYG000000184,1,0,1,0,1,1,1
MGYG000000185,1,0,0,0,1,0,1
MGYG000000186,0,0,0,0,0,1,1
MGYG000000187,1,0,1,0,1,0,1
MGYG000000188,1,0,0,0,1,0,1
MGYG000000189,0,0,1,0,0,0,0
MGYG000000190,1,0,1,0,1,1,1
MGYG000000191,0,1,1,0,1,0,1
MGYG000000192,0,0,0,0,0,0,0
MGYG000000193,1,0,1,0,1,1,1
MGYG000000194,1,0,0,0,0,1,1
MGYG000000195,1,0,0,0,1,0,1
MGYG000000196,1,0,1,1,1,1,1
MGYG000000197,1,0,0,0,1,1,1
MGYG000000198,1,0,0,0,1,0,1
MGYG000000199,1,1,1,0,1,0,1
MGYG000000200,1,0,1,0,0,0,0
MGYG000000201,1,0,1,0,1,0,1
MGYG000000202,0,0,0,0,1,0,1
MGYG000000203,1,0,1,1,0,0,0
MGYG000000204,0,0,1,0,1,0,1
MGYG000000205,1,0,0,0,1,0,1
MGYG000000206,1,0,0,0,0,0,0
MGYG000000207,1,0,0,0,0,0,0
MGYG000000208,0,0,1,0,1,0,1
MGYG000000209,0,0,1,0,1,0,1
MGYG000000210,1,0,0,0,0,0,0
MGYG000000211,1,0,1,1,1,0,1
MGYG000000212,1,0,1,0,1,0,1
MGYG000000213,1,0,1,0,1,0,1
MGYG000000214,1,1,1,1,1,0,1
MGYG000000215,0,0,1,0,1,0,1
MGYG000000216,1,0,1,0,1,0,1
MGYG000000217,1,0,1,0,1,0,1
MGYG000000218,0,0,1,1,1,0,1
MGYG000000219,1,0,0,0,1,0,1
MGYG000000220,1,0,0,0,1,1,1
MGYG000000221,1,0,1,1,0,0,0
MGYG000000222,1,0,1,1,0,0,1
MGYG000000223,0,0,0,0,0,0,0
MGYG000000224,1,0,1,0,0,1,1
MGYG000000225,0,0,1,0,0,0,0
MGYG000000226,0,0,1,0,1,0,1
MGYG000000227,0,1,1,1,0,1,1
MGYG000000228,1,0,0,0,0,0,0
MGYG000000229,0,0,1,0,1,0,1
MGYG000000230,0,0,1,0,1,0,1
MGYG000000231,0,0,1,0,1,0,1
MGYG000000232,1,0,0,0,0,1,1
MGYG000000233,1,0,0,0,0,0,0
MGYG000000234,0,0,1,0,1,0,1
MGYG000000235,0,1,1,1,1,1,1
MGYG000000236,1,0,1,1,1,1,1
MGYG000000237,1,0,0,0,0,1,1
MGYG000000238,1,0,0,0,1,0,1
MGYG000000239,1,0,0,0,1,0,1
MGYG000000240,0,0,0,0,0,0,0
MGYG000000241,1,0,1,1,0,0,0
MGYG000000242,1,0,0,0,1,1,1
MGYG000000243,1,0,1,1,1,0,1
MGYG000000244,0,0,0,0,1,0,1
MGYG000000245,1,0,0,0,1,0,1
